Customer ID,avg_order_time,avg_first_half,avg_second_half,time_since_last_order,total_orders,total_sum,avg_incr,Recency,Frequency,Monetary_Value,RFM_Score
12346.0,36 days 08:51:32.727272,4 days 04:58:00,63 days 04:06:10,325 days 02:49:00,12,77556.46,15.015874325960162,1,6,10,17
12347.0,57 days 10:30:17.142857,52 days 14:47:40,61 days 01:17:15,1 days 20:58:00,8,4921.53,1.160353140961624,5,5,9,19
12348.0,90 days 17:33:30,80 days 04:10:00,94 days 06:01:20,74 days 23:37:00,5,2019.3999999999999,1.1755853905009384,0,3,8,11
12349.0,190 days 06:50:20,18 days 20:37:00,275 days 23:57:00,18 days 02:59:00,4,4428.69,14.63479029347866,0,3,9,12
12350.0,,,,309 days 20:49:00,1,334.4,,0,0,3,3
12351.0,,,,374 days 21:27:00,1,300.93,,0,0,3,3
12352.0,39 days 13:48:33.333333,27 days 07:23:00,49 days 09:21:00,35 days 22:13:00,10,2849.84,1.8086361671286524,3,6,8,17
12353.0,204 days 05:03:00,,204 days 05:03:00,203 days 19:03:00,2,406.76,,0,1,3,4
12354.0,,,,231 days 23:39:00,1,1079.4,,0,0,6,6
12355.0,353 days 01:50:00,,353 days 01:50:00,213 days 23:01:00,2,947.61,,0,1,6,7
12356.0,80 days 09:23:36,22 days 01:21:00,119 days 06:45:20,22 days 04:10:00,6,6371.7300000000005,5.408058100605564,0,4,10,14
12357.0,177 days 15:01:00,,177 days 15:01:00,32 days 20:43:00,3,18287.66,,0,2,10,12
12358.0,182 days 12:36:45,181 days 04:29:00,182 days 23:19:20,1 days 02:24:00,5,3887.07,1.009851455232795,0,3,9,12
12359.0,75 days 05:15:00,49 days 17:13:00,95 days 14:52:36,57 days 00:03:00,10,8873.39,1.9232690346821617,2,6,10,18
12360.0,86 days 04:15:42.857142,87 days 16:39:40,85 days 00:57:45,51 days 21:28:00,8,4252.889999999999,0.969734504631255,7,5,9,21
12361.0,131 days 15:44:40,103 days 00:56:00,145 days 23:09:00,286 days 22:59:00,4,511.25,1.4165970237774304,0,3,4,7
12362.0,73 days 12:33:00,154 days 13:13:00,19 days 12:06:20,2 days 21:10:00,11,5356.23,0.12620065033198086,10,6,9,25
12363.0,132 days 20:49:00,,132 days 20:49:00,109 days 02:32:00,2,552.0,,0,1,4,5
12364.0,34 days 22:19:20,34 days 00:43:00,35 days 09:07:30,7 days 02:28:00,4,1313.1,1.039681244005469,0,3,7,10
12365.0,0 days 00:13:00,,0 days 00:13:00,290 days 22:46:00,2,641.38,,0,1,5,6
12366.0,,,,633 days 02:22:00,1,500.24,,0,0,4,4
12367.0,,,,3 days 20:02:00,1,168.9,,0,0,2,2
12368.0,,,,627 days 20:54:00,1,917.6999999999999,,0,0,6,6
12369.0,114 days 02:32:00,,114 days 02:32:00,412 days 23:37:00,3,1791.1499999999999,,0,2,7,9
12370.0,102 days 20:51:40,22 days 01:14:30,143 days 06:40:15,50 days 21:59:00,7,4316.5599999999995,6.497354705632272,0,4,9,13
12371.0,150 days 03:58:15,0 days 00:02:00,200 days 05:17:00,44 days 02:34:00,5,4067.38,144158.5,0,3,9,12
12372.0,112 days 11:43:00,,112 days 11:43:00,71 days 00:38:00,3,1298.04,,0,2,7,9
12373.0,181 days 00:31:00,,181 days 00:31:00,310 days 23:40:00,3,1127.65,,0,2,6,8
12374.0,187 days 16:32:00,166 days 20:15:00,198 days 02:40:30,24 days 21:13:00,4,2989.2200000000003,1.1874071299244553,0,3,9,12
12375.0,87 days 20:13:00,,87 days 20:13:00,10 days 02:14:00,2,457.5,,0,1,4,5
12376.0,28 days 03:33:00,,28 days 03:33:00,389 days 00:35:00,2,503.15,,0,1,4,5
12377.0,91 days 08:03:40,208 days 03:50:00,32 days 22:10:30,314 days 21:05:00,4,3426.32,0.15816680567139282,0,3,9,12
12378.0,432 days 20:27:00,,432 days 20:27:00,129 days 02:16:00,2,5416.32,,0,1,9,10
12379.0,150 days 23:06:40,112 days 01:57:00,170 days 09:41:30,81 days 02:41:00,4,1620.22,1.5203597340718848,0,3,7,10
12380.0,64 days 02:20:12,33 days 12:50:45,84 days 11:19:50,21 days 01:23:00,11,9676.300000000001,2.5189054494563314,2,6,10,18
12381.0,28 days 18:41:45,60 days 05:48:00,18 days 06:59:40,4 days 00:06:00,5,1845.31,0.3036342816741212,0,3,8,11
12383.0,41 days 22:23:30,20 days 23:42:00,48 days 21:57:20,184 days 04:48:00,5,1850.56,2.330664196060265,0,3,8,11
12384.0,92 days 21:16:00,,92 days 21:16:00,28 days 04:11:00,2,585.27,,0,1,4,5
12385.0,,,,378 days 21:36:00,1,1938.4,,0,0,8,8
12386.0,29 days 02:44:00,,29 days 02:44:00,337 days 00:13:00,2,401.9,,0,1,3,4
12387.0,,,,414 days 20:23:00,1,143.94,,0,0,1,1
12388.0,80 days 23:56:34.285714,92 days 08:21:40,72 days 11:37:45,15 days 00:20:00,8,3901.11,0.7849033074734613,8,5,9,22
12389.0,126 days 12:48:30,,126 days 12:48:30,402 days 00:58:00,3,1433.33,,0,2,7,9
12390.0,,,,79 days 03:17:00,1,549.84,,0,0,4,4
12391.0,128 days 05:11:00,32 days 12:23:00,192 days 00:23:00,21 days 00:43:00,6,2724.84,5.905281592379813,0,4,8,12
12392.0,,,,590 days 22:46:00,1,234.75000000000003,,0,0,2,2
12393.0,71 days 05:10:24,47 days 21:59:00,86 days 17:58:00,71 days 21:09:00,6,2399.45,1.8104320352468877,0,4,8,12
12394.0,153 days 18:07:00,,153 days 18:07:00,63 days 04:42:00,2,1272.48,,0,1,7,8
12395.0,41 days 15:47:30,56 days 20:42:50,30 days 06:06:00,18 days 21:29:00,15,4721.17,0.5320529130037431,9,7,9,25
12396.0,,,,673 days 23:28:00,1,931.43,,0,0,6,6
12397.0,99 days 19:31:00,,99 days 19:31:00,35 days 02:58:00,2,2409.8999999999996,,0,1,8,9
12398.0,,,,45 days 02:23:00,1,1635.6599999999999,,0,0,7,7
12399.0,87 days 12:45:00,129 days 12:04:00,66 days 13:05:30,118 days 23:35:00,7,1962.3000000000002,0.5138537354411102,0,4,8,12
12400.0,,,,413 days 23:05:00,1,205.25,,0,0,2,2
12401.0,,,,302 days 23:00:00,1,84.3,,0,0,1,1
12402.0,69 days 09:49:36,74 days 11:47:00,66 days 00:31:20,322 days 23:01:00,6,1256.9,0.8863055117914488,0,4,7,11
12403.0,471 days 23:12:00,,471 days 23:12:00,49 days 01:59:00,2,1019.3600000000001,,0,1,6,7
12404.0,,,,681 days 20:25:00,1,63.24,,0,0,1,1
12405.0,,,,148 days 03:58:00,1,1710.39,,0,0,7,7
12406.0,168 days 19:19:30,101 days 04:37:00,191 days 08:13:40,21 days 17:28:00,5,6390.360000000001,1.8908820979478487,0,3,10,13
12407.0,53 days 17:12:30,28 days 23:04:00,61 days 23:15:20,49 days 02:39:00,5,1708.12,2.139730801202123,0,3,7,10
12408.0,66 days 13:34:17.142857,79 days 08:26:20,56 days 23:25:15,32 days 00:23:00,8,4340.7699999999995,0.7180177013351847,9,5,9,23
12409.0,81 days 03:12:50,19 days 23:54:30,111 days 16:52:00,78 days 02:12:00,7,23419.29,5.586205699005018,0,4,10,14
12410.0,96 days 22:36:30,,96 days 22:36:30,308 days 02:11:00,3,1013.7099999999999,,0,2,6,8
12411.0,,,,409 days 03:25:00,1,346.9,,0,0,3,3
12412.0,92 days 23:22:48,68 days 13:50:00,109 days 05:44:40,74 days 02:34:00,6,2596.93,1.5929586497890296,0,4,8,12
12413.0,111 days 22:31:20,65 days 02:46:00,135 days 08:24:00,66 days 03:50:00,4,999.45,2.078621248640232,0,3,6,9
12414.0,49 days 05:17:48,0 days 00:42:30,82 days 00:21:20,216 days 21:59:00,6,952.41,2778.8549019607844,0,4,6,10
12415.0,18 days 15:19:42.222222,24 days 22:35:36.923076,12 days 18:52:04.285714,23 days 22:28:00,28,144458.37,0.5126480844446688,9,8,10,27
12416.0,,,,656 days 02:31:00,1,202.56,,0,0,2,2
12417.0,38 days 10:20:06.315789,34 days 19:03:00,41 days 16:53:30,2 days 21:58:00,20,6797.41,1.1986008821827037,5,7,10,22
12418.0,172 days 14:47:00,53 days 22:24:00,231 days 22:58:30,112 days 01:42:00,4,2021.2,4.300815049443758,0,3,8,11
12419.0,27 days 23:24:00,,27 days 23:24:00,385 days 02:46:00,2,503.01,,0,1,4,5
12420.0,,,,63 days 03:55:00,1,600.39,,0,0,4,4
12421.0,97 days 23:02:00,93 days 00:36:00,101 days 05:59:20,15 days 03:43:00,6,1098.6,1.088412115420984,0,4,6,10
12422.0,39 days 02:49:00,27 days 23:31:51.428571,47 days 18:42:20,95 days 03:02:00,17,5231.8,1.7075989594970225,3,7,9,19
12423.0,51 days 16:04:20,50 days 12:33:45,52 days 14:04:48,0 days 02:40:00,10,2622.39,1.0408370702541105,6,6,8,20
12424.0,128 days 14:57:00,125 days 19:14:00,130 days 00:48:30,162 days 00:44:00,4,3340.03,1.033642646587986,0,3,9,12
12425.0,370 days 03:21:00,,370 days 03:21:00,77 days 19:19:00,2,1741.41,,0,1,7,8
12426.0,468 days 03:45:00,,468 days 03:45:00,194 days 00:24:00,2,1345.21,,0,1,7,8
12427.0,174 days 23:06:00,,174 days 23:06:00,21 days 03:54:00,3,825.8,,0,2,5,7
12428.0,32 days 05:51:07.500000,6 days 10:04:20,47 days 17:43:12,25 days 04:28:00,9,7956.46,7.436252839577398,1,5,10,16
12429.0,76 days 17:42:00,35 days 00:15:40,108 days 00:46:45,8 days 19:28:00,8,6204.41,3.0856826912269333,1,5,10,16
12430.0,,,,42 days 21:41:00,1,256.4,,0,0,2,2
12431.0,25 days 07:29:39.230769,26 days 16:04:55,24 days 03:33:42.857142,35 days 00:55:00,27,10432.22,0.9054495440653215,7,8,10,25
12432.0,32 days 11:34:00,0 days 00:02:00,43 days 07:24:40,42 days 01:07:00,5,5059.32,31182.333333333332,0,3,9,12
12433.0,52 days 21:24:20,27 days 13:51:30,73 days 03:26:36,0 days 02:48:00,10,16794.14,2.6522946753459324,2,6,10,18
12434.0,148 days 11:30:00,,148 days 11:30:00,84 days 00:12:00,3,1103.43,,0,2,6,8
12435.0,131 days 13:25:36,130 days 01:27:30,132 days 13:24:20,79 days 03:44:00,6,13925.93,1.0192048766379675,0,4,10,14
12436.0,,,,99 days 00:41:00,1,509.01,,0,0,4,4
12437.0,19 days 08:42:55.263157,18 days 21:12:13.333333,19 days 19:04:33,1 days 01:15:00,39,12683.4,1.0482611449354489,6,8,10,24
