Customer ID,avg_order_time,avg_first_half,avg_second_half,time_since_last_order,total_orders,total_sum,avg_incr,Bestellrhythmus_Trend,Recency,Frequency,Monetary_Value,RFM_Score
12346.0,36.0,4.0,63.0,325,12,77556.46,15.015874325960162,1,3,6,10,19
12347.0,57.0,52.0,61.0,1,8,4921.53,1.160353140961624,5,10,5,9,24
12348.0,90.0,80.0,94.0,74,5,2019.3999999999999,1.1755853905009384,0,6,3,8,17
12349.0,190.0,18.0,275.0,18,4,4428.69,14.63479029347866,0,9,3,9,21
12350.0,,,,309,1,334.4,,0,4,0,3,7
12351.0,,,,374,1,300.93,,0,3,0,3,6
12352.0,39.0,27.0,49.0,35,10,2849.84,1.8086361671286524,3,7,6,8,21
12353.0,204.0,,204.0,203,2,406.76,,0,4,1,3,8
12354.0,,,,231,1,1079.4,,0,4,0,6,10
12355.0,353.0,,353.0,213,2,947.61,,0,4,1,6,11
12356.0,80.0,22.0,119.0,22,6,6371.7300000000005,5.408058100605564,0,8,4,10,22
12357.0,177.0,,177.0,32,3,18287.66,,0,8,2,10,20
12358.0,182.0,181.0,182.0,1,5,3887.07,1.009851455232795,0,10,3,9,22
12359.0,75.0,49.0,95.0,57,10,8873.39,1.9232690346821617,2,7,6,10,23
12360.0,86.0,87.0,85.0,51,8,4252.889999999999,0.969734504631255,7,7,5,9,21
12361.0,131.0,103.0,145.0,286,4,511.25,1.4165970237774304,0,4,3,4,11
12362.0,73.0,154.0,19.0,2,11,5356.23,0.12620065033198086,10,10,6,9,25
12363.0,132.0,,132.0,109,2,552.0,,0,5,1,4,10
12364.0,34.0,34.0,35.0,7,4,1313.1,1.039681244005469,0,10,3,7,20
12365.0,0.0,,0.0,290,2,641.38,,0,4,1,5,10
12366.0,,,,633,1,500.24,,0,1,0,4,5
12367.0,,,,3,1,168.9,,0,10,0,2,12
12368.0,,,,627,1,917.6999999999999,,0,1,0,6,7
12369.0,114.0,,114.0,412,3,1791.1499999999999,,0,2,2,7,11
12370.0,102.0,22.0,143.0,50,7,4316.5599999999995,6.497354705632272,0,7,4,9,20
12371.0,150.0,0.0,200.0,44,5,4067.38,144158.5,0,7,3,9,19
12372.0,112.0,,112.0,71,3,1298.04,,0,6,2,7,15
12373.0,181.0,,181.0,310,3,1127.65,,0,4,2,6,12
12374.0,187.0,166.0,198.0,24,4,2989.2200000000003,1.1874071299244553,0,8,3,9,20
12375.0,87.0,,87.0,10,2,457.5,,0,9,1,4,14
12376.0,28.0,,28.0,389,2,503.15,,0,3,1,4,8
12377.0,91.0,208.0,32.0,314,4,3426.32,0.15816680567139282,0,3,3,9,15
12378.0,432.0,,432.0,129,2,5416.32,,0,5,1,9,15
12379.0,150.0,112.0,170.0,81,4,1620.22,1.5203597340718848,0,6,3,7,16
12380.0,64.0,33.0,84.0,21,11,9676.300000000001,2.5189054494563314,2,8,6,10,24
12381.0,28.0,60.0,18.0,4,5,1845.31,0.3036342816741212,0,10,3,8,21
12383.0,41.0,20.0,48.0,184,5,1850.56,2.330664196060265,0,5,3,8,16
12384.0,92.0,,92.0,28,2,585.27,,0,8,1,4,13
12385.0,,,,378,1,1938.4,,0,3,0,8,11
12386.0,29.0,,29.0,337,2,401.9,,0,3,1,3,7
12387.0,,,,414,1,143.94,,0,2,0,1,3
12388.0,80.0,92.0,72.0,15,8,3901.11,0.7849033074734613,8,9,5,9,23
12389.0,126.0,,126.0,402,3,1433.33,,0,3,2,7,12
12390.0,,,,79,1,549.84,,0,6,0,4,10
12391.0,128.0,32.0,192.0,21,6,2724.84,5.905281592379813,0,8,4,8,20
12392.0,,,,590,1,234.75000000000003,,0,1,0,2,3
12393.0,71.0,47.0,86.0,71,6,2399.45,1.8104320352468877,0,6,4,8,18
12394.0,153.0,,153.0,63,2,1272.48,,0,6,1,7,14
12395.0,41.0,56.0,30.0,18,15,4721.17,0.5320529130037431,9,9,7,9,25
12396.0,,,,673,1,931.43,,0,1,0,6,7
12397.0,99.0,,99.0,35,2,2409.8999999999996,,0,7,1,8,16
12398.0,,,,45,1,1635.6599999999999,,0,7,0,7,14
12399.0,87.0,129.0,66.0,118,7,1962.3000000000002,0.5138537354411102,0,5,4,8,17
12400.0,,,,413,1,205.25,,0,2,0,2,4
12401.0,,,,302,1,84.3,,0,4,0,1,5
12402.0,69.0,74.0,66.0,322,6,1256.9,0.8863055117914488,0,3,4,7,14
12403.0,471.0,,471.0,49,2,1019.3600000000001,,0,7,1,6,14
12404.0,,,,681,1,63.24,,0,1,0,1,2
12405.0,,,,148,1,1710.39,,0,5,0,7,12
12406.0,168.0,101.0,191.0,21,5,6390.360000000001,1.8908820979478487,0,8,3,10,21
12407.0,53.0,28.0,61.0,49,5,1708.12,2.139730801202123,0,7,3,7,17
12408.0,66.0,79.0,56.0,32,8,4340.7699999999995,0.7180177013351847,9,8,5,9,22
12409.0,81.0,19.0,111.0,78,7,23419.29,5.586205699005018,0,6,4,10,20
12410.0,96.0,,96.0,308,3,1013.7099999999999,,0,4,2,6,12
12411.0,,,,409,1,346.9,,0,3,0,3,6
12412.0,92.0,68.0,109.0,74,6,2596.93,1.5929586497890296,0,6,4,8,18
12413.0,111.0,65.0,135.0,66,4,999.45,2.078621248640232,0,6,3,6,15
12414.0,49.0,0.0,82.0,216,6,952.41,2778.8549019607844,0,4,4,6,14
12415.0,18.0,24.0,12.0,23,28,144458.37,0.5126480844446688,9,8,8,10,26
12416.0,,,,656,1,202.56,,0,1,0,2,3
12417.0,38.0,34.0,41.0,2,20,6797.41,1.1986008821827037,5,10,7,10,27
12418.0,172.0,53.0,231.0,112,4,2021.2,4.300815049443758,0,5,3,8,16
